CODE,SEX,ZEITRAUM,ALTERVON,ALTERBIS,NORMVON,NORMBIS
CYSC,AL,Monat,4,11,"0,65","1,49"
CYSC,AL,Jahr,1,19,"0,56","0,9"
CYSC,M,Jahr,20,29,"0,6","1,3"
CYSC,M,Jahr,30,39,"0,64","1,12"
CYSC,M,Jahr,40,49,"0,68","1,22"
CYSC,M,Jahr,50,59,"0,72","1,32"
CYSC,M,Jahr,60,69,"0,77","1,42"
CYSC,M,Jahr,70,99,"0,82","1,53"
CYSC,W,Jahr,20,29,"0,57","0,9"
CYSC,W,Jahr,30,39,"0,59","0,98"
CYSC,W,Jahr,40,49,"0,62","1,07"
CYSC,W,Jahr,50,59,"0,64","1,17"
CYSC,W,Jahr,60,69,"0,66","1,26"
CYSC,W,Jahr,70,123,"0,68","1,36"
eGFR2,AL,Jahr,70,123,60,140
GFRcysc,AL,Jahr,18,60,80,140
GFRcysc,AL,Jahr,61,70,75,140
GFRcysc,AL,Jahr,71,80,64,140
GFRcysc,AL,Jahr,81,123,50,140
GFR,AL,Jahr,18,50,80,140
GFR,AL,Jahr,51,60,70,140
GFR,AL,Jahr,61,123,60,140
eGFR,AL,Jahr,18,123,60,140
eGFR1,AL,Jahr,70,123,60,140
BILS,AL,Tag,0,1,0,8
BILS,AL,Tag,2,3,"1,3",14
BILS,AL,Tag,4,6,0,17
BILS,AL,Woche,1,4,0,2
BILS,AL,Monat,1,12,0,"1,2"
BILS,AL,Jahr,1,123,0,"1,2"
TPS,AL,Monat,0,6,"4,1","6,7"
TPS,AL,Monat,6,24,"5,5",8
TPS,AL,Jahr,2,123,"6,5","8,5"
ALBS,AL,Jahr,0,1,30,52
ALBS,AL,Jahr,1,123,35,52
IMA,AL,Jahr,0,123,45,120
CHOS,AL,Jahr,0,1,60,190
CHOS,AL,Jahr,1,14,110,220
CHOS,AL,Jahr,15,123,130,200
TRIS,AL,Jahr,18,123,0,150
TRIS,AL,Jahr,0,18,0,140
AMY7,AL,Jahr,0,123,28,100
CRPS,AL,Tag,0,1,0,"0,6"
CRPS,AL,Tag,2,7,0,"1,6"
CRPS,AL,Woche,1,52,0,5
CRPS,AL,Jahr,1,123,0,5
CRPH,AL,Jahr,0,123,"0,1","3,1"
LIP7,AL,Jahr,0,123,13,60
HDLS,AL,Jahr,0,4,30,80
HDLS,M,Jahr,14,123,40,80
HDLS,W,Jahr,14,123,40,100
HDLS,AL,Jahr,5,13,35,85
HDLF,AL,Jahr,0,123,0,85
QLHC,AL,Jahr,0,123,0,4
ANPS,AL,Monat,0,1,5,"9,6"
ANPS,AL,Monat,2,12,5,"10,8"
ANPS,AL,Jahr,1,14,"3,4","6,2"
ANPS,AL,Jahr,14,123,"2,7","4,5"
FES,AL,Monat,0,1,60,200
FES,AL,Monat,2,12,30,150
FES,AL,Jahr,1,12,22,135
FES,M,Jahr,13,123,59,160
FES,W,Jahr,13,123,37,150
TRFS,AL,Jahr,0,1,"1,3",3
TRFS,AL,Jahr,1,123,2,4
TFSÄ,AL,Jahr,0,1,29,46
TFSÄ,AL,Jahr,1,5,7,44
TFSÄ,AL,Jahr,6,9,17,42
TFSÄ,AL,Jahr,15,19,6,33
TFSÄ,AL,Jahr,20,123,16,45
TFSÄ,M,Jahr,10,14,2,40
TFSÄ,W,Jahr,10,14,11,36
STFR,M,Jahr,0,123,"2,2",5
STFR,W,Jahr,0,123,"1,9","4,4"
CUS,AL,Monat,0,4,9,46
CUS,AL,Monat,4,12,30,130
CUS,AL,Jahr,1,5,80,150
CUS,AL,Jahr,6,14,80,136
CUS,AL,Jahr,14,123,70,135
MGSH,AL,Jahr,0,14,"0,8",1
MGSH,AL,Jahr,15,123,"0,75","1,1"
ZNS,AL,Jahr,0,2,75,100
ZNS,AL,Jahr,2,14,64,110
ZNS,AL,Jahr,15,123,65,110
OSMS,AL,Jahr,0,1,270,305
OSMS,AL,Jahr,1,14,275,295
OSMS,AL,Jahr,15,123,280,300
OSMB,AL,Jahr,0,123,260,295
OSMD,AL,Jahr,0,123,10,20
HBDH,AL,Jahr,0,1,100,300
HBDH,AL,Jahr,2,14,70,165
HBDH,AL,Jahr,15,123,55,140
HLR,AL,Jahr,0,123,0,"0,8"
FHB,AL,Jahr,0,123,0,5
GLDH7,AL,Monat,0,1,0,10
GLDH7,AL,Monat,2,12,0,6
GLDH7,AL,Jahr,1,12,0,4
GLDH7,AL,Jahr,13,17,0,"4,8"
GLDH7,M,Jahr,18,123,0,"6,5"
GLDH7,W,Jahr,18,123,0,5
BILD,AL,Jahr,0,123,0,"0,3"
BILI,AL,Jahr,0,123,0,1
NH3,AL,Monat,0,1,45,110
NH3,AL,Monat,2,12,26,120
NH3,AL,Jahr,1,14,26,120
