ul,Chi-Squared,SSD,Reg_Slope,Reg_Intercept,Z-Test_1,Z-Test_2,Z-Test_3,Z-Test_4,Z-Test_5,Z-Test_6,Z-Test_7,Z-Test_8,Z-Test_9
85,632.8274312066471,0.034687064232335495,1.1182548052982813,-0.013139422810920134,20.536529686884137,3.2372952065735627,9.246023957760627,10.609142898804505,8.842373451025962,7.801474407354442,4.108154354056217,1.5940866895848103,2.3472639393132453
86,607.2242914965866,0.03375883057800737,1.1205567509972871,-0.01339519455525412,19.699631861451767,5.361506216821551,7.384372001376412,11.198919058003325,10.130817912106293,6.92509240794724,3.2241594527326485,1.1307072716836848,0.7173830586957644
87,593.954445706296,0.03288585919159819,1.1148067025442985,-0.012756300282699834,18.958636676586874,4.958939576818294,6.526262174549846,12.469885663493816,10.060633412053365,6.24297856779754,3.3896674719560655,0.3447486782983629,1.9692908220864795
88,652.9302088795241,0.03462639462877265,1.1180134381499962,-0.013112604238888464,19.740421381805035,5.738657894282796,10.12423921861922,12.054151720467628,8.106293204431921,6.843078840144657,3.2873475285005265,2.01856547805591,3.7791644692493374
89,560.9084002428406,0.032566962762567445,1.1158640893413814,-0.012873787704597933,19.172825601223625,4.604648930694045,7.42662167002525,10.434715965533272,8.743600201579994,7.453059011287128,3.95161393115563,0.6961125626456814,1.4327573054575753
90,534.8551758665534,0.03180605008285104,1.1134940774850361,-0.012610453053892912,18.600149713810385,5.0699612311113516,7.962646864505158,9.215108785288368,10.068079456284915,5.27497150440041,3.409970102326227,2.6498767200508997,1.5236346716629963
91,505.52766398006526,0.03008697771476248,1.105665280794769,-0.011740586754974316,17.025442403130295,5.888376311278268,7.479138687895557,9.636229453621194,8.659754160290776,8.392558536556091,1.7484662970029663,0.9760463684809336,1.6054955091101253
92,539.0456265646895,0.03148213770258246,1.1132169536435224,-0.01257966151594693,18.18469656975066,5.756206029314405,7.031945175457621,10.090778840151117,9.029913147893875,7.121188265891089,3.9112146116559168,2.1932374509311434,1.89763427913026
93,439.57453966065026,0.028945423923073046,1.1041024274651507,-0.011566936385016754,17.303913626440544,3.167478064397985,4.877100552646156,9.638110533620393,8.837302463516197,5.8100491520207935,2.9419525924086254,1.9402827718020277,1.3313681952074452
94,504.42479811299734,0.030699238130539926,1.109974475016663,-0.012219386112962513,17.61265291533655,6.028009564388974,7.751080352668637,9.497711496170412,9.455304494094015,6.033261000642777,2.258791263635906,1.372697620838605,0.4935878860836763
95,488.3795516201936,0.030168185336930355,1.1093798936863966,-0.012153321520710733,17.732224042843086,4.583466620595745,5.80650096740335,8.91895111215198,10.345440572212022,6.6784246365827125,2.1903101627871386,2.1478832853946472,0.6281499113705842
96,469.3515112859933,0.029256822714678117,1.108897282443305,-0.012099698049256105,17.306313483161144,4.344693622594655,3.7400452085179525,9.458072953520208,7.467261641007573,8.724945646928958,4.771988249075365,2.3728034328064633,1.3451050895494556
97,399.8406648959459,0.026289787678109244,1.0943892692711341,-0.010487696585681563,14.36920514507031,6.717793132218375,4.907720211127605,9.818718583982452,8.576066946930206,4.9946833438908005,4.2903216046331645,0.9416425780376493,0.7486420239095924
98,332.4307963362555,0.0248375431220182,1.0896274158914763,-0.009958601765719582,14.339618403504579,4.592540772901165,5.524993852681989,7.73601038297322,8.626326996231912,3.0854484684556254,3.1692226440637197,1.8497237564205995,0.20049853480746155
99,356.52012762411647,0.025040280744145552,1.0903781685018061,-0.010042018722422899,13.835553189408774,6.2520473256818665,5.116149278658203,8.937118692574726,7.814558190138006,4.83377627297265,3.3084203585371443,2.402404878872732,1.1160875395640106
100,435.0937332276323,0.026965974078428948,1.0987982354571426,-0.010977581717460286,14.462190129856088,7.757891109150384,4.150926022667183,9.256954412668867,9.41768146161458,6.463242651655482,4.900807309670381,0.766481648990733,1.61825228772704
101,374.20422168997135,0.02658608202542795,1.0972086123996314,-0.010800956933292374,15.88645680178354,3.291321598865081,4.335161175137971,8.070938588689959,8.493080260290473,5.21072836237542,4.7668244159870135,0.06083366465679572,0.08933188505436983
102,357.00331825006106,0.02533421552047928,1.0951905818417944,-0.010576731315754928,14.241855308462123,6.553039470408338,5.121560370046161,6.92401927233232,8.461108318619726,5.483046333554873,3.597464220522427,2.436993510441521,1.1790181448877903
103,272.735838867183,0.02222755635838484,1.0847498774156357,-0.009416653046181736,12.677895847536751,5.39719487265771,3.541304860102831,7.351884368342737,6.062104065043493,4.179250019384128,4.15042343855158,3.0926940636567495,0.8833552034379045
104,338.41229661725674,0.02363459206124499,1.086760653211733,-0.009640072579081449,12.841605595954217,6.172341056107507,2.8183390123295102,8.061967428189103,8.046829126780882,7.602249553844117,3.4220331397889856,0.8396100508987966,0.6591479874818609
